window_seconds	auxiliary_multiplier	quantity	route	state	rho	value	unit
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	0.4375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	0.5625	0	1
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	0.6875	0	1
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	0.8125	0	1
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	0.9375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	facade	final	1	0	1
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0	6.902741045375226	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.0625	6.902741045375226	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.1875	6.2870590178963024	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.3125	5.2912474100119642	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.4375	3.8873775385784768	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.5625	2.4692757654944879	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.6875	1.2811395498334921	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.8125	0.4852051437138224	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	0.9375	0.20000000000000001	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	initial	1	0.20000000000000001	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0	6.902741045375226	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.0625	6.902741045375226	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.1875	6.2870590178963024	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.3125	5.2912474100119642	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.4375	3.8873775385784768	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.5625	2.4692757654944879	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.6875	1.2811395498334921	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.8125	0.4852051437138224	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	0.9375	0.20000000000000001	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	initial	1	0.20000000000000001	keV
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0	0.97453392768728775	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.125	0.97453392768728775	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.25	1.1117153127396751	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.375	1.0551337752504	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.5	1.1534088044617261	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.625	1.3074682014908092	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.75	1.536091113781666	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	0.875	1.8689105515091922	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	initial	1	2.2809428899808522	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.0625	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.1875	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.3125	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.4375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.5625	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.6875	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.8125	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	0.9375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	initial	1	0	1
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0	4.7298674405638916	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.0625	4.7298674405638916	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.1875	4.6491746820919815	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.3125	4.0506453490207992	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.4375	3.1730536066969179	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.5625	2.2418026563092677	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.6875	1.4109842703983024	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.8125	0.7771246985793433	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	0.9375	0.35572186052822669	keV
0.0025000000000000001	0.5	ion_temperature	torax-standalone	final	1	0.20000000000000001	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0	4.7298674405638916	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.0625	4.7298674405638916	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.1875	4.6491746820919815	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.3125	4.0506453490207992	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.4375	3.1730536066969179	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.5625	2.2418026563092677	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.6875	1.4109842703983024	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.8125	0.7771246985793433	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	0.9375	0.35572186052822669	keV
0.0025000000000000001	0.5	electron_temperature	torax-standalone	final	1	0.20000000000000001	keV
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0	0.98370338242837729	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.125	0.98370338242837729	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.25	1.1048602527736977	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.375	1.0526068030456599	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.5	1.1487804299076716	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.625	1.2980820225640988	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.75	1.5192323224902935	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	0.875	1.8591922075496656	1
0.0025000000000000001	0.5	safety_factor	torax-standalone	final	1	2.2809428899808522	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.0625	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.1875	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.3125	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.4375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.5625	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.6875	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.8125	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	0.9375	0	1
0.0025000000000000001	0.5	bootstrap_fraction	torax-standalone	final	1	0	1
