coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
8,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',x,3399.7,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',z,-5598.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
